shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
7e70db24-4199-423c-bdaa-d547a4a0a1d3,6,40.749716,-73.991780,214303.903630774963
aadbbd26-b783-4700-ab23-9f3c2043d53e,0,40.749716,-73.991780,0
aadbbd26-b783-4700-ab23-9f3c2043d53e,1,41.190104,-73.882939,49814.2626504117652
aadbbd26-b783-4700-ab23-9f3c2043d53e,2,41.706241,-73.937903,107388.750874712656
aadbbd26-b783-4700-ab23-9f3c2043d53e,3,41.921415,-73.951678,131342.252622521773
aadbbd26-b783-4700-ab23-9f3c2043d53e,4,42.254045,-73.798041,170441.632025997329
aadbbd26-b783-4700-ab23-9f3c2043d53e,5,42.641685,-73.741372,213795.308725814917
c8926c36-f510-4e0d-9c9b-9ce1743ebde8,0,42.641685,-73.741372,0
c8926c36-f510-4e0d-9c9b-9ce1743ebde8,1,42.254045,-73.798041,43353.6766998175954
c8926c36-f510-4e0d-9c9b-9ce1743ebde8,2,41.921415,-73.951678,82453.0561032931437
c8926c36-f510-4e0d-9c9b-9ce1743ebde8,3,41.706241,-73.937903,106406.557851102261
c8926c36-f510-4e0d-9c9b-9ce1743ebde8,4,41.190104,-73.882939,163981.046075403166
c8926c36-f510-4e0d-9c9b-9ce1743ebde8,5,40.936162,-73.903009,192268.195221961505
c8926c36-f510-4e0d-9c9b-9ce1743ebde8,6,40.749716,-73.991780,214303.903630774963
d2fc7d4e-4adf-4889-999e-ab49cde6aa01,0,43.113077,-79.031525,0
d2fc7d4e-4adf-4889-999e-ab49cde6aa01,1,42.878211,-78.873374,29111.4582068362106
d2fc7d4e-4adf-4889-999e-ab49cde6aa01,2,42.907343,-78.726847,41479.9428117165153
d2fc7d4e-4adf-4889-999e-ab49cde6aa01,3,43.163683,-77.608484,136739.442378717154
d2fc7d4e-4adf-4889-999e-ab49cde6aa01,4,43.076866,-76.170230,253870.284858096624
d2fc7d4e-4adf-4889-999e-ab49cde6aa01,5,43.199834,-75.449681,313912.729784439027
d2fc7d4e-4adf-4889-999e-ab49cde6aa01,6,43.104900,-75.223045,335112.734053900291
d2fc7d4e-4adf-4889-999e-ab49cde6aa01,7,42.953541,-74.219674,418388.917255697073
d2fc7d4e-4adf-4889-999e-ab49cde6aa01,8,42.814465,-73.942494,445759.824336604215
