trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
292,3,AK_10008,12:51:00,12:51:00,,0,0,93747.04,0
292,4,AK_10007,13:32:00,13:32:00,,0,0,125431.23,0
292,5,AK_10006,13:55:00,14:10:00,,0,0,150709.55,0
292,6,AK_10005,14:32:00,14:32:00,,0,0,194063.23,0
292,7,AK_10004,14:54:00,14:54:00,,0,0,233162.61,0
292,8,AK_10003,15:10:00,15:10:00,,0,0,257116.11,0
292,9,AK_10002,15:50:00,15:50:00,,0,0,314690.60,0
292,10,AK_10001,16:11:00,16:11:00,,0,0,342977.75,0
292,11,AK_10000,16:45:00,16:45:00,,0,0,365013.46,0
290,0,STOP_c02c6226-bf4e-4eff-bf1f-91319a32814a,08:15:00,08:15:00,,0,0,0.00,
290,1,STOP_300c06f8-4ec0-41d6-b965-ff8bd77330bb,08:34:00,08:34:00,,0,0,15273.23,
290,2,STOP_1473500,09:31:00,09:31:00,,0,0,65775.28,0
290,3,AK_10008,09:52:00,09:52:00,,0,0,93747.04,0
290,4,AK_10007,10:28:00,10:28:00,,0,0,125431.23,0
290,5,AK_10006,10:50:00,11:10:00,,0,0,150709.55,0
290,6,AK_10005,11:31:00,11:31:00,,0,0,194063.23,0
290,7,AK_10004,11:53:00,11:53:00,,0,0,233162.61,0
290,8,AK_10003,12:10:00,12:10:00,,0,0,257116.11,0
290,9,AK_10002,12:50:00,12:50:00,,0,0,314690.60,0
290,10,AK_10001,13:11:00,13:11:00,,0,0,342977.75,0
290,11,AK_10000,13:45:00,13:45:00,,0,0,365013.46,0
296,0,STOP_c02c6226-bf4e-4eff-bf1f-91319a32814a,17:05:00,17:05:00,,0,0,0.00,
296,1,STOP_300c06f8-4ec0-41d6-b965-ff8bd77330bb,17:24:00,17:24:00,,0,0,15273.23,
296,2,STOP_1473500,18:25:00,18:25:00,,0,0,65775.28,0
296,3,AK_10008,18:47:00,18:47:00,,0,0,93747.04,0
296,4,AK_10007,19:23:00,19:23:00,,0,0,125431.23,0
296,5,AK_10006,19:45:00,20:15:00,,0,0,150709.55,0
296,6,AK_10005,20:37:00,20:37:00,,0,0,194063.23,0
296,7,AK_10004,20:59:00,20:59:00,,0,0,233162.61,0
296,8,AK_10003,21:15:00,21:15:00,,0,0,257116.11,0
296,9,AK_10002,21:55:00,21:55:00,,0,0,314690.60,0
296,10,AK_10001,22:16:00,22:16:00,,0,0,342977.75,0
296,11,AK_10000,22:50:00,22:50:00,,0,0,365013.46,0
293,0,AK_10000,17:47:00,17:47:00,,0,0,0.00,1
293,1,AK_10002,18:32:00,18:32:00,,0,0,49814.26,0
293,2,AK_10003,19:22:00,19:22:00,,0,0,107388.75,0
293,3,AK_10004,19:37:00,19:37:00,,0,0,131342.25,0
293,4,AK_10005,19:57:00,19:57:00,,0,0,170441.63,0
293,5,AK_10006,20:20:00,20:30:00,,0,0,213795.31,0
293,6,AK_10007,20:54:00,20:54:00,,0,0,239073.63,0
293,7,AK_10008,21:23:00,21:23:00,,0,0,270757.82,0
293,8,STOP_1473500,21:43:00,21:43:00,,0,0,298729.58,0
293,9,STOP_300c06f8-4ec0-41d6-b965-ff8bd77330bb,22:54:00,22:54:00,,0,0,349231.63,
293,10,STOP_c02c6226-bf4e-4eff-bf1f-91319a32814a,23:18:00,23:18:00,,0,0,364504.86,
295,0,AK_10000,15:15:00,15:15:00,,,,0.00,1
295,1,AK_10001,15:39:00,15:39:00,,,,22035.71,0
295,2,AK_10002,15:58:00,15:58:00,,,,50322.86,0
295,3,AK_10003,16:40:00,16:40:00,,,,107897.35,0
295,4,AK_10004,16:55:00,16:55:00,,,,131850.85,0
295,5,AK_10005,17:16:00,17:16:00,,,,170950.23,0
295,6,AK_10006,17:45:00,18:00:00,,,,214303.90,0
295,7,AK_10007,18:24:00,18:24:00,,,,239582.23,0
295,8,AK_10008,18:50:00,18:50:00,,,,271266.42,0
295,9,STOP_1473500,19:10:00,19:10:00,,,,299238.18,0
295,10,STOP_300c06f8-4ec0-41d6-b965-ff8bd77330bb,20:25:00,20:25:00,,0,0,349740.23,
295,11,STOP_c02c6226-bf4e-4eff-bf1f-91319a32814a,20:48:00,20:48:00,,0,0,365013.46,
291,0,AK_10000,14:20:00,14:20:00,,,,0.00,1
291,1,AK_10001,14:44:00,14:44:00,,,,22035.71,0
291,2,AK_10002,15:03:00,15:03:00,,,,50322.86,0
291,3,AK_10003,15:45:00,15:45:00,,,,107897.35,0
291,4,AK_10004,16:00:00,16:00:00,,,,131850.85,0
291,5,AK_10005,16:20:00,16:20:00,,,,170950.23,0
291,6,AK_10006,16:50:00,17:05:00,,,,214303.90,0
